ID,SER
986,72.148
987,80.6576
988,399.905
989,63.725
990,77.7893
991,94.5565
993,56.6938
994,66.5552
995,74.2085
996,67.2429
997,73.1421
999,61.5281
