areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,coolElectricEquivalentEfficiency,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,lpd,opaqueConduction,q50,roofWallRatio,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio,irr_north,irr_north_east,irr_east,irr_south_east,irr_south,irr_south_west,irr_west,irr_north_west,irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_east,cool_irr_south_east,cool_irr_south,cool_irr_south_west,cool_irr_west,cool_irr_north_west,cool_irr_horizontal,BER,SER
42.6,0.371478524,0.551738433,0.076783043,2.279,0.785993691,7.659828,3.278581967,0.813080967,0.090973712,2.194753608,7.689143918,5.389497681,642.9906542,642.9906542,1.415973616,1.918213896,8.22512293,0.00E+00,2.42208,0.186919033,0.00E+00,154.1532988,0.179179811,0.399061033,0,0,0,215.6635514,0,0,0,427.3271028,0,0.00E+00,0.00E+00,0.00E+00,215.6635514,0.00E+00,0.00E+00,0.00E+00,427.3271028,0.00E+00,79.0578,54.6217
33,0.663264036,0.254574879,0.082161086,2.428,0.843966006,9.451035,3.211715354,0.894107649,0.034913314,0.825987422,6.613667858,6.662904865,894.0670338,899.9995528,1.496909606,1.440049089,5.271710019,0.784102061,2.4156,0.105892351,0.00E+00,179.0162927,0.186968839,0.401515152,0,0,0,78.83497317,0,0,0,79.2039356,741.960644,0.00E+00,0.00E+00,0.00E+00,84.40268135,0.00E+00,0.00E+00,0.00E+00,84.7977017,724.8666507,70.5813,45.8103
14.28,0.949242909,0.00E+00,0.050757091,2.279,0.947290744,9.476388,3.228853468,1,0.127866329,0,7.620357028,6.442717743,644,644,1.610986526,1.460941286,5.212246573,0.00E+00,2.42208,0.00E+00,0.00E+00,153.3474377,0.150537634,0.682773109,0,0,0,0,0,0,0,644,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,644,0.00E+00,102.8,62.8057
23.76,0.934771866,0.00E+00,0.065228134,2.279,0.945500928,9.832972,3.224264378,1,0.08017316,0,7.682419865,6.569660405,644,644,4.216211278,1.893089545,8.729708137,0.00E+00,2.55664,0.00E+00,0.00E+00,114.2928685,0.183673469,0.810185185,0,0,0,0,0,0,0,644,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,644,0.00E+00,225.247,62.0888
42,0.782412397,0.095249192,0.122338411,2.279,0.836629473,9.476388,3.192567848,0.896575606,0.085266641,0.164408549,7.738583598,7.284127929,644,644,1.704414285,1.448436739,5.414492522,0.00E+00,2.42208,0.103424394,0.00E+00,124.8442167,0.323201231,0.38452381,0,0,0,0,0,0,0,644,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,644,0.00E+00,91.3721,62.8701
323.8,0.628920799,0.00E+00,0.371079201,2.279,0.877470356,9.476388,3.049833992,1,0.070197628,0,7.816950885,10.42328308,879.9070167,840.8305172,3.726021396,1.461018389,6.210051322,0.476948923,2.42208,0.00E+00,0.00E+00,472.8987728,0.962287141,0.089561458,0,0,0,96.39954124,0,178.2625271,0,96.85070914,469.3177398,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,180.2518814,0.00E+00,119.6853977,579.9697375,95.2382,85.1434
85.61,0.674869925,0.00E+00,0.325130075,0,0.00E+00,4.263854101,0.8,1,0.167096321,0.00E+00,0,61.573339,0,758.5200936,1.006627086,1.679494589,31.25,0.499210295,0.68,0.00E+00,0.00E+00,100.4730304,1.003163815,0.267725733,0,125.1243054,0,0,0,173.1238959,0,0,460.2718924,0,0,0,0,0,0,0,0,0,137.136,43.5137
104.1,0.723550032,0.00E+00,0.276449968,2.925,0.961044521,11.628576,3.998356164,1,0.050045662,0,4.639335264,4.551556486,745.2166667,743.1642651,0.707065302,2.271012724,7.037638048,0.00E+00,2.97216,0.00E+00,0.00E+00,245.5477997,0.742722603,0.256195965,0,0,0,118.2247839,0,506.1613833,0,118.778098,0,0.00E+00,0.00E+00,0.00E+00,91.87666667,0.00E+00,515.9533333,0.00E+00,137.3866667,0.00E+00,78.5352,68.1175
28.7,0.887362637,0.00E+00,0.112637363,2.506,0.700886918,23.05773,2.786313525,1,0.062558758,0,6.437557424,19.90550148,921.1019724,901.5689655,3.175813008,1.218677604,8.5014093,0.75862069,3.0889,0.00E+00,0.00E+00,88.37201375,0.318181818,0.301045296,0,0,0,77.36206897,0,0,0,77.72413793,746.4827586,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,119.136264,801.9657084,100.437,66.2965
120.46,0.565483476,0.046511628,0.388004896,2.386,0.916812439,19.987677,3.226125569,0.982896016,0.082124393,0.066514277,6.930377429,7.173678086,862.4665057,860.6904232,5.128941668,1.67088494,8.957608346,0.460691261,2.89085,0.017103984,0.00E+00,88.62921458,1.170651118,0.298937407,0,0,0,54.24944321,0,291.2980698,0,53.36785449,461.7750557,0.00E+00,0.00E+00,0.00E+00,46.55019111,0.00E+00,291.2110239,0.00E+00,57.84469926,466.8605914,118.747,68.5729
