areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,ber,coolElectricEquivalentEfficiency,cool_irr_east,cool_irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_north_west,cool_irr_south,cool_irr_south_east,cool_irr_south_west,cool_irr_west,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,irr_east,irr_horizontal,irr_north,irr_north_east,irr_north_west,irr_south,irr_south_east,irr_south_west,irr_west,lpd,opaqueConduction,q50,roofWallRatio,ser,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio
0,1,0.00E+00,0.00E+00,21.4548,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0.00E+00,0,59.375,0,0,0,0,0,0,0,0,0,0,0,0.766165292,0,31.25,0,6.8313,0,0.00E+00,0.00E+00,53.58,0.00E+00,0
1084.86,0.075154318,0.022344974,0.902500707,11.31,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.8,0.028668891,0.004695588,1.061264356,0,61.40625,0,0,0,0,0,0,0,0,0,0,0,0.220930102,0,31.25,0.00E+00,6.84303,0.00E+00,0.971331109,0.00E+00,0.649205317,1.608987764,0.022095017
153.6,0.188405797,0.115942029,0.695652174,12.3872,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.370277943,1.936638889,0.108384625,0.016146743,0.894976257,0,24.34444659,0,780.8342541,176.0883978,604.7458564,0,0,0,0,0,0,0,0.461560743,1.140951682,12.90896312,0.616575137,7.02291,0.070423232,0.891615375,0.00E+00,0,0.626095463,0.006510417
1776.5,0.471470718,0.073571743,0.454957539,21.5842,0,0,0,0,0,0,0,0,0,0,0.00E+00,4.136157668,0.945784321,0.192491486,0.088325268,0.218542861,0,66.91834874,0,685.4721753,165.7373352,350.477728,47.2940975,0,0,37.17252513,0,0,84.79048947,0.106831905,1.03677,26.52796207,0.592851666,7.05073,0.641636235,0.807508514,0.00E+00,49.32833624,0.277154166,0.10778497
0,1,0.00E+00,0.00E+00,14.6576,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0.00E+00,0,59.375,0,0,0,0,0,0,0,0,0,0,0,0.049751415,0,18.75,0,7.05767,0,0.00E+00,0.00E+00,297.045,0.00E+00,0
0.01,0.999925105,0.00E+00,7.49E-05,10.8878,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.746819444,1,0,0.00E+00,0,29.92272685,0,712,0,0,0,0,0,0,712,0,0,0.35825426,2.969593056,14.31172528,0.00E+00,7.06623,0,0.00E+00,0.00E+00,44.55,0.0003367,0.00E+00
0.01,0.999929259,0.00E+00,7.07E-05,9.82352,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.746819444,1,0,0.00E+00,0,29.92272685,0,712,0,0,0,0,0,0,712,0,0,0.107087227,2.969593056,14.31172528,0.00E+00,7.22536,0,0.00E+00,0.00E+00,57.78,0.000259605,0.00E+00
116.7,0.00E+00,0.230718523,0.769281477,50.7973,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.290608696,0.8,0.136882973,0.018924016,4.071247974,0,61.40625,0,697.6431718,0,0,0,105.7268722,0,0,371.1409692,220.7753304,0,1.171607366,0.993234286,31.25,0.437590361,7.47115,0.079304348,0.863117027,0.00E+00,0,1.294509151,0.010282776
860.35,0.364140487,0.060353391,0.575506122,13.0423,1.775,0.00E+00,0.00E+00,0.00E+00,0.00E+00,99.88888889,0.00E+00,0.00E+00,520.9920635,0.00E+00,0.011634546,6.686540773,1.127345483,0.11386141,0.017246341,0.306701013,12.06109899,48.72185762,620.8809524,741.6623748,0,288.0586655,0,11.76721381,25.08181624,0,37.86101045,378.8936687,0,0.182783648,0.70888841,26.3343252,0.596910593,7.49018,1.256788252,0.88613859,0.00E+00,6.206502228,0.419873406,0.049968036
47.2481,0.872616553,0.00E+00,0.127383447,12.2236,0,0,0,0,0,0,0,0,0,0,0.00E+00,1.5504,0.8,1,0,0.00E+00,0,45.15625,0,688,688,0,0,0,0,0,0,0,0,0.161540203,0.216,12.5,0.00E+00,7.53595,0.576,0.00E+00,0.00E+00,0,0.476916322,0.139688157
83,0.548233897,0.205402196,0.246363906,11.6728,1.775,677,0,0,0,0,0,0,0,0,0.255899904,2.722372,1.864,0.255899904,0,0.465733594,12.06109899,10.93683803,677,677,677,0,0,0,0,0,0,0,0,0.103767457,0.571895416,13.41201717,0.862240664,7.94997,0.455515,0.744100096,0.00E+00,0,0.159769009,0.096385542
144.174,0.382913113,0.193268838,0.423818049,5.63098,0,0,0,0,0,0,0,0,0,0,0.00E+00,2.534219549,3.266,0.282019212,0.018193616,1.8284316,0,3.181095631,0,750.5863189,0,412.6563558,0,0,0,337.929963,0,0,0,3.353537122,0.719269289,1.52022499,0.54414987,8.10126,0.997480602,0.717980788,0.00E+00,5.057585328,0.721302782,0.076990303
0,0.996831432,0.003168568,0.00E+00,20.5202,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0.019884589,0,59.375,0,0,0,0,0,0,0,0,0,0,0,0.119977782,0.431363128,31.25,0,8.2906,0,0.00E+00,0.00E+00,0,0.00E+00,0
0,1,0.00E+00,0.00E+00,21.3699,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.737208333,1,0,0.00E+00,0,30.25473793,0,0,0,0,0,0,0,0,0,0,0,0.7462785,0.705306583,5.756361979,0,8.42918,0,0.00E+00,0.00E+00,21.35,0.00E+00,0
0,1,0.00E+00,0.00E+00,29.9025,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.898194444,1,0,0.00E+00,0,25.34053662,0,0,0,0,0,0,0,0,0,0,0,1.556695992,0.8541875,7.902246287,0,8.70923,0,0.00E+00,0.00E+00,30.225,0.00E+00,0
0,1,0.00E+00,0.00E+00,16.8655,2.279,0,0,0,0,0,0,0,0,0,1,0,3.364,1,0,0,7.316357971,3.357929875,0,0,0,0,0,0,0,0,0,0,0,1.608585859,1.5138,4.458977408,0,8.73087,0,0.00E+00,0.00E+00,29.25,0.00E+00,0
0,1,0.00E+00,0.00E+00,18.0917,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.746819444,1,0,0.00E+00,0,29.92272685,0,0,0,0,0,0,0,0,0,0,0,0.222446472,1.013155278,14.31172528,0,8.73174,0,0.00E+00,0.00E+00,38.85,0.00E+00,0
